,channelTitle,view_count,Likes,Dislikes,Comments,Response_Percentage,LikesPercentage,DislikesPercentage,CommentsPercentage
432,BuzzFeed Unsolved Network,15848477,911341,8103,66360,5.801465970515653,5.750338029326099,0.05112794118955405,0.41871531251867294
433,BuzzFeedVideo,16074336,641206,7359,28290,4.034785635935444,3.989004584699486,0.04578105123595774,0.17599482802897737
434,By Post,2373673,51759,2223,2650,2.274196993435911,2.1805446664304644,0.09365232700544683,0.11164132549007383
435,C Wrestling,345231,2883,490,1218,0.9770269761406131,0.835093024670438,0.14193395147017504,0.35280725079729225
436,C&C Life,372793,16580,209,1824,4.503571687236617,4.447508402786533,0.05606328445008356,0.4892795733825474
437,C-SPAN,42464174,536255,82650,353907,1.4574756593640559,1.2628410009812037,0.19463465838285232,0.8334249007174848
438,CBC Music,499685,7301,137,554,1.4885377788006444,1.4611205059187289,0.027417272881915606,0.11086984800424267
439,CBC News,839998,8220,3800,3277,1.4309557879899715,0.9785737585089488,0.4523820294810226,0.39011997647613444
440,CBC News: The National,6400857,46702,14711,0,0.9594496486954793,0.729621049181383,0.22982859951409632,0.0
441,CBS,11329275,73095,14968,15529,0.7773048142974727,0.645186916197197,0.1321178981002756,0.13706967127199224
442,CBS 17,1172935,11283,1327,8446,1.0750808868351613,0.96194588787955,0.11313499895561135,0.7200740023956996
443,CBS All Access,9543001,11406,1919,4513,0.13963112861457314,0.11952215031728489,0.020108978297288242,0.04729120325985505
444,CBS Boston,460264,6872,361,2808,1.5714894060799889,1.4930561590739229,0.07843324700606609,0.6100846470721152
445,CBS Chicago,1235111,10901,1652,0,1.0163458992754497,0.88259273862835,0.13375316064709974,0.0
446,CBS Evening News,7989823,60931,17821,43003,0.9856538749356525,0.7626076322341558,0.22304624270149664,0.5382221858982358
447,CBS Los Angeles,1879483,53410,1181,13227,2.904575353967022,2.8417389250128893,0.0628364289541326,0.7037573630620761
448,CBS Miami,1417989,9315,2200,4430,0.8120655378849907,0.6569162384193389,0.1551492994656517,0.31241427119674414
449,CBS News,12830795,100535,20521,26090,0.9434801195093523,0.7835445894038522,0.1599355301055001,0.20333892015264837
450,CBS Sacramento,290862,7200,114,3009,2.51459454999278,2.475400705489201,0.03919384450357902,1.034511211502362
451,CBS Sports Golazo,3676570,46699,1814,12918,1.3195179202354368,1.2701784543745938,0.049339465860843125,0.351360099222917
452,CBS Sports HQ,32102684,222320,41220,44633,0.820928243881415,0.6925277649681877,0.1284004789132273,0.1390319887271731
453,CBS Sunday Morning,8724337,109462,23895,35781,1.528563144683659,1.2546741374158288,0.2738890072678302,0.4101285862753812
454,CBS This Morning,23947164,236600,36562,80902,1.1406862207149038,0.9880084339005655,0.15267778681433844,0.33783541132469797
455,CBS46 Atlanta,636316,9452,413,6109,1.5503303390139491,1.4854254804216773,0.06490485859227177,0.9600575814532402
456,CBSDFW,3529049,36238,2243,23962,1.090407075673928,1.0268488762836674,0.06355819939026067,0.6789931225097753
457,CBell,562143,18876,248,3469,3.4019813463833937,3.3578644579759955,0.044116888407398115,0.6171027656663873
458,CG Animator,455773,28185,1860,136,6.5920973818106825,6.183999490974673,0.4080978908360083,0.029839415674030714
459,CG5,16988981,748150,10464,124068,4.46532961570797,4.4037367514861545,0.061592864221815306,0.7302851183364087
460,CGP Grey,13368226,1114625,14183,91509,8.44396257214682,8.337867717077794,0.1060948550690271,0.6845261293458085
461,CGTN America,181443,1591,76,536,0.9187458320243823,0.8768593993706012,0.04188643265378108,0.29540957766350867
462,CHASE ATLANTIC,1834368,232637,857,21969,12.728852662061266,12.682133574070198,0.04671908799106831,1.197633190286791
463,CHUNG HA_Official,20450748,680578,5824,38926,3.3563662316899117,3.3278880557327293,0.02847817595718259,0.1903402261863478
464,CL Official Channel,3177519,526354,3035,45080,16.66045112554795,16.5649363544325,0.09551477111545202,1.4187169297807503
465,CLC 씨엘씨 (Official YouTube Channel),25768894,739386,8443,86082,2.9020609111124442,2.8692966023299253,0.03276430878251896,0.33405391787478345
466,CMT,833604,7618,1783,2531,1.1277537055964222,0.9138631772400324,0.21389052835638983,0.30362138377455
467,CNBC,12364138,153735,30207,109040,1.4877058149949476,1.2433944040417537,0.24431141095319384,0.8819053944561279
468,CNBC Television,14259582,116680,38658,98189,1.089358720332756,0.8182568044420937,0.2711019158906621,0.6885825966006577
469,CNCOVEVO,13620256,843431,28357,186595,6.400672645213129,6.192475383722597,0.20819726149053291,1.3699815921227911
470,CNET,6671896,133296,9373,30655,2.1383576722418933,1.9978728685219314,0.14048480371996205,0.45946459597092043
471,CNET Highlights,1561608,24141,734,3021,1.5929093600954913,1.5459065271182013,0.04700283297729008,0.19345443927029063
472,CNN,10462220,143617,30314,78496,1.6624674304306353,1.3727201301444627,0.2897473002861725,0.7502805331946757
473,COLORS,2231135,183616,1164,4904,8.281883436009027,8.229712679869214,0.05217075613981225,0.21979844339316087
474,CONMEBOL,12615655,0,0,37601,0.0,0.0,0.0,0.29805031922638975
475,CORE,2891163,36217,996,4294,1.287129089573988,1.252679285118134,0.034449804455853925,0.14852154651951482
476,CORPSE,3271855,399372,2590,40014,12.28544663501286,12.206286647788486,0.07915998722437272,1.2229759570641119
477,CORPSE Husband Gaming & Clips,10825914,642448,5341,23604,5.983688767525772,5.934353441196743,0.049335326329028664,0.2180323989272407
478,CRAZY MIDDLES,412419,19901,265,0,4.889687429531617,4.82543238793557,0.06425504159604674,0.0
479,CRED,4659378,120533,4306,7924,2.6793061219759378,2.586890353175896,0.09241576880004156,0.17006561820054092
480,CTV News,12241719,104370,5313,13794,0.8959771090971783,0.8525763416069263,0.043400767490251985,0.11268025348400824
481,Caddicarus,728890,62558,1411,8796,8.776221377711314,8.58263935573269,0.19358202197862504,1.2067664530999191
482,Cadillac,2357207,53634,1549,2808,2.341033265215995,2.2753199019008514,0.06571336331514373,0.1191240311096989
483,Caitlin Doughty – Ask A Mortician,3673391,348021,3751,39388,9.576219901448008,9.474107166920156,0.10211273452785179,1.0722517695502602
484,Caitlyn Jenner,2152924,69384,6079,6360,3.5051399863627326,3.2227798101558625,0.28236017620687026,0.2954121929060199
485,CalebCity,36806819,4507382,16509,230839,12.290904573959516,12.24605147214705,0.04485310181246578,0.627163678556411
486,Calfreezy,2018998,137608,704,3718,6.850526845494646,6.815658064049593,0.03486878144505344,0.18415075200668846
487,CalibreCincuentaVEVO,4847704,94178,1771,2414,1.9792668859319793,1.9427341273312067,0.03653275860077265,0.049796769769771425
488,CaliyElDandeeVEVO,7093980,268736,7299,16165,3.8911161294506047,3.7882260733748896,0.1028900560757149,0.22786926379831915
489,Call of Duty,28412692,1304616,56495,127777,4.790503483443245,4.591666287728033,0.19883719571521066,0.4497180344615005
490,Callux,1377598,129480,600,3832,9.442522419457635,9.398968349257185,0.04355407020045035,0.27816532834687624
491,CalvinHarrisVEVO,4246119,194856,4017,7942,4.683641697276972,4.589037660037318,0.09460403723965344,0.18704139003169717
492,Cam Capone News,239098,4096,99,760,1.7545107027244058,1.713105086617203,0.041405616107202906,0.31786129536842633
493,Cam Casey,58920648,1583248,99667,11041,2.856239802386423,2.6870851793754884,0.16915462301093498,0.01873876200411102
494,Cam&Fam,11260689,751526,11193,0,6.773288916868231,6.67389002573466,0.09939889113357096,0.0
495,CamaKat,465370,12395,407,771,2.7509293680297398,2.6634720759825514,0.08745729204718826,0.16567462449233944
496,Camilo,6055236,331872,4045,6703,5.547545958572052,5.48074426826634,0.06680169030571229,0.11069758470190097
497,CamiloVEVO,113312467,4654008,314978,400088,4.3852067928236,4.107233849210961,0.27797294361263886,0.35308383145519195
498,Cantoons,2612276,34113,2205,2059,1.3902818844563132,1.3058727332027702,0.08440915125354288,0.07882015529752599
499,Capron & Rydel,1971243,120438,1189,9059,6.170066298269671,6.109749026375743,0.06031727189392683,0.4595577511245443
500,Capron Funk,535485,25577,166,736,4.807417574721981,4.776417640083289,0.030999934638692026,0.13744549333781525
501,Captain Bling Bling,12046917,863788,19243,11209,7.329933459324074,7.170199645270238,0.15973381405383635,0.09304455239460852
502,Captain Disillusion,963515,128382,733,6855,13.400414108758037,13.324338489800367,0.07607561895767061,0.7114575279056372
503,Captain Joe,2205826,83749,1101,6610,3.846631601948658,3.796718326830856,0.04991327511780168,0.29966098867272395
504,Car Wizard,416029,25673,199,3172,6.218797247307279,6.170964043371977,0.04783320393530259,0.7624468486571849
505,CarBuzz,4702828,278814,7594,4827,6.0901227941995755,5.928645487353567,0.1614773068460084,0.10264036873132507
506,CaragBTW,1439545,43136,1188,3422,3.0790284430149804,2.996502367067372,0.08252607594760844,0.2377139999096937
507,Cardi B,158047928,5476584,656654,514098,3.880619048672375,3.4651412829657597,0.41547776570661527,0.3252798100586298
508,Carli Bybel,2002192,109283,2310,12824,5.573541398627104,5.45816784803855,0.11537355058855495,0.6404980141764626
509,Carlos Rivera,9879961,440337,7736,17169,4.5351697238481,4.456869819627831,0.0782999042202697,0.1737759896015784
510,CarlosVivesVEVO,8221314,201675,6744,8838,2.5351057020812,2.45307501939471,0.08203068268649026,0.10750106369857665
511,Carly Waddell,266221,3309,215,0,1.3237122541046724,1.2429522840046427,0.08075997010002968,0.0
512,Carmen Pritchett,253295,25175,660,0,10.199569671726643,9.939003928225981,0.2605657435006613,0.0
513,Carmen and Corey,2003742,112800,8275,4567,6.042444586179259,5.629467266743922,0.4129773194353365,0.22792355502854159
514,CaroleKingVEVO,527981,1528,99,75,0.3081550283059428,0.28940435356575334,0.018750674740189516,0.014205056621355693
515,Carter Sharer,4473845,81721,3523,6740,1.9053856358456764,1.8266390543257534,0.07874658151992302,0.15065340886865772
516,Cas van de Pol,9175319,659051,9660,30658,7.2881498725003455,7.1828674294594,0.10528244304094496,0.33413552160965737
517,CaseyNeistat,9193740,552015,13923,38419,6.155688544596649,6.004248543030366,0.15144000156628315,0.4178821676488567
518,CashNasty,8237663,421709,4824,30929,5.177839880072783,5.119279582085356,0.058560297987426777,0.3754584279546274
519,CashNastyPlays,784408,34884,668,2199,4.532335213307361,4.4471754495109685,0.08515976379639167,0.28033880327584626
520,Cassie,1736283,191695,3664,974,11.25156440511138,11.040538898324755,0.21102550678662407,0.05609684596347485
521,Casually Explained,8180406,795970,10676,38363,9.860708624975338,9.73020165502788,0.13050696994745736,0.4689620539616249
522,Catplant ASMR,276268,8266,653,1315,3.228386928634514,2.992022239274907,0.23636468935960733,0.475987085004416
523,Caught On Camera,721549,12071,2060,1183,1.9584255539124855,1.6729286576518019,0.2854968962606836,0.16395282926038288
524,Caxy,727626,57110,2452,1560,8.185798748258033,7.848812439357582,0.3369863089004516,0.2143958572123591
525,Caylus,4960026,249298,6491,11527,5.157009257612763,5.026143008121329,0.1308662494914341,0.2323979753331938
526,CazzuVEVO,4255151,348427,10010,16561,8.423602358647202,8.188358062968858,0.23524429567834373,0.3891988791937113
527,Celaine's ASMR,321890,9027,385,613,2.9239802416974743,2.8043741650874523,0.11960607661002205,0.19043772717387927
528,Celina Spooky Boo,357320,23380,750,1430,6.753050486958468,6.543154595320721,0.2098958916377477,0.4002015000559722
529,Ch0pper,568994,15965,389,3037,2.874195509970228,2.8058292354576673,0.06836627451256076,0.5337490377754422
530,Chael Sonnen,1755499,43355,3295,16643,2.657364088501332,2.469668168423907,0.18769592007742528,0.9480495289373563
531,Champions League on CBS Sports,50950227,552799,18922,111687,1.1221166885085714,1.0849784830203013,0.03713820548826995,0.21920805181103512
532,Chance The Rapper,1052902,79147,559,4636,7.570125234827173,7.51703387399777,0.053091360829402925,0.4403068851612021
533,Channel 4 News,2297464,19283,1046,6296,0.8848452032327819,0.8393167422862774,0.04552846094650449,0.2740412907449257
534,Channel Super Fun,376575,23045,415,1796,6.2298346942840075,6.11963088362212,0.11020381066188674,0.47693022638252675
535,Channelnutpig,1734370,191063,1447,17768,11.099707674832937,11.016276803680876,0.08343087115206098,1.0244642146716099
536,Chaos Club,2465659,42159,196,2027,1.7177963376119731,1.709847144313143,0.00794919329883005,0.082209259269023
537,Charles & Alyssa Forever,838044,53648,574,5881,6.470066010853845,6.401573187088029,0.06849282376581659,0.7017531299072602
538,Charlie Berens,417754,17858,129,779,4.305643991439938,4.274764574366732,0.030879417073205764,0.186473379069979
539,Charly Jordan,1985783,100678,1088,2216,5.124729137070868,5.06993966611659,0.05478947095427849,0.11159326069364074
540,Chary,1142062,58524,2023,7197,5.301551054145922,5.124415311953292,0.17713574219263054,0.6301759449136737
541,Chase Hudson,15427409,953857,14874,39271,6.279285134658711,6.182872315111371,0.09641281954733942,0.25455343797522967
542,Checkpoint,3982525,75262,3962,1557,1.9892907138059397,1.8898060903572482,0.09948462344869147,0.039095799775268204
543,Chelsea Football Club,10119369,169702,4806,8960,1.7244948771015267,1.6770017972464488,0.04749307985507792,0.08854307022503083
544,Cherry Pie Man,2096684,53966,3120,5465,2.722680194058809,2.573873793094238,0.14880640096457073,0.26064967348441637
545,ChicOnTheCheap,161996,11248,130,727,7.023630213091681,6.943381318057236,0.0802488950344453,0.448776513000321
546,Chica,338200,15995,231,800,4.797752808988764,4.729450029568302,0.06830277942046127,0.23654642223536368
547,Chill How to Draw,4038948,195313,9973,0,5.082660138234015,4.8357394054095275,0.24692073282448795,0.0
548,ChimbalaHD,3457209,200825,3315,6307,5.904763061764562,5.808876466537025,0.09588659522753759,0.18243039399700742
549,Chipflake,896812,127500,727,5666,14.298091461755641,14.217026533989287,0.0810649277663546,0.6317935085614377
550,Chloe Morello,804912,34227,425,1575,4.3050668892997,4.252266086230544,0.05280080306915538,0.19567356431510524
551,Chloe Ting,8246636,380240,4685,31086,4.667660849830161,4.610849805908736,0.05681104392142444,0.376953705729221
552,Chloe x Halle,2186247,233716,1788,12829,10.772067383054157,10.69028339432827,0.08178398872588505,0.5868046931568116
553,ChloexHalleVEVO,5080922,299861,6772,24492,6.034987350720991,5.901704454427759,0.1332828962932318,0.48203849616270433
554,Chris Brown,394089,45806,854,4101,11.839965084029242,11.623262765517435,0.21670231851180824,1.0406278784741518
555,Chris Klemens,378385,23583,429,2303,6.345917517872008,6.232540930533716,0.113376587338293,0.6086393488113958
556,Chris Ramsay,1982356,108138,1243,4968,5.517727391043788,5.4550242237014945,0.06270316734229371,0.25061088926509667
557,Chris Smoove,2398487,70366,1409,3091,2.992511529143164,2.9337661617511372,0.05874536739202672,0.12887291029719986
558,Chris Stuckmann,9643173,479469,12812,78001,5.10496908019798,4.9721082469432005,0.13286083325478035,0.8088727641824947
559,ChrisBrownVEVO,8805948,434753,10911,23826,5.060942899049597,4.937038011126116,0.12390488792348081,0.27056712122306426
560,ChrisFix,15808445,733947,14402,73544,4.733855859953335,4.64275265530544,0.09110320464789548,0.46521969744652303
561,ChrisMD,10953189,606363,6601,13642,5.596214947080709,5.535949393368452,0.06026555371225677,0.12454820235458368
562,ChrisShwafer,1302236,60851,632,2585,4.721340832230102,4.6728089224994545,0.0485319097306479,0.19850472571791902
563,ChrisStapletonVEVO,1044898,21792,509,1396,2.134275307254871,2.085562418532718,0.048712888722152785,0.13360155728118916
564,ChristianNodalVEVO,48091244,1524405,54802,52908,3.283772405637916,3.1698181897727578,0.11395421586515832,0.11001586900101815
565,Christina Kayy,331851,23553,972,3942,7.39036495294575,7.097462415361111,0.2929025375846389,1.1878825135377022
566,Chubbyemu,548727,39317,461,6471,7.24914210527275,7.1651294723970205,0.08401263287572873,1.1792749399974851
567,Ciara,1506049,126629,2138,8118,8.549987417408065,8.408026564872724,0.14196085253534246,0.5390262866613238
568,Cilvanis,1340133,159382,1220,15958,11.984034420464237,11.892998679981764,0.0910357404824745,1.1907773332945313
569,Cimorelli,2619080,155596,1197,11364,5.986567802434442,5.94086473112696,0.04570307130748202,0.4338928173251676
570,Cinema Summary,7853635,245631,3932,35345,3.177675051106908,3.1276090625551096,0.05006598855179799,0.45004637979738044
571,CinemaSins,5790028,250366,8808,27526,4.476213241110406,4.3240896244370495,0.15212361667335633,0.47540357317788445
572,CinemaWins,1076725,70686,395,6427,6.601592792960134,6.564907474053263,0.03668531890687037,0.5969026445935591
573,Cinemassacre,4412260,316171,8681,27456,7.36248543830146,7.165738193125518,0.19674724517594158,0.6222661402546541
574,Circle All Access,56447,755,7,32,1.3499388807199675,1.3375378673800202,0.012401013339947206,0.05669034669690152
575,Circle K,2254108,17,7,10,0.0010647227195857518,0.0007541785930399075,0.0003105441265458443,0.0004436344664940633
576,CircleToonsHD,16769293,1275490,11083,54979,7.672195840337455,7.606104801198238,0.06609103913921714,0.3278552053446737
577,CityGirlsVEVO,5559152,191846,7678,12837,3.5891085546860384,3.4509939645471106,0.13811459013892766,0.23091651388557102
578,Claire Saffitz x Dessert Person,4300727,240509,1832,13520,5.634884520686851,5.592287071464894,0.04259744922195712,0.3143654549568015
579,ClarenceNYC TV,226729,20044,201,1096,8.929162127473768,8.840510036210631,0.08865209126313793,0.4833964777333292
580,Clash Royale,57379065,1371111,39476,78460,2.458365259175973,2.3895666476963333,0.06879861147963982,0.13673976736985868
581,Clash Universe,16270567,721561,14124,34022,4.5215695310433865,4.434762476316898,0.08680705472648863,0.20910150211728945
582,Clash of Clans,128503732,2189364,67122,104436,1.755969235196998,1.7037357327489913,0.05223350244800672,0.08127079141950523
583,ClayClaim,1773652,127055,1011,11240,7.220469404370192,7.1634683692178625,0.05700103515232977,0.6337207073315396
584,Clayton Bush,373972,18832,521,890,5.174986362615383,5.035671119762977,0.13931524285240607,0.23798573155209482
585,Cleetus McFarland,3573663,178704,1898,15470,5.053694206756485,5.000583434979739,0.0531107717767456,0.43288916722141957
586,Cleetus2 McFarland,2331833,124560,2104,22572,5.431949886634249,5.341720440528975,0.09022944610527427,0.9679938486160887
587,Clemson Tigers,745016,43364,638,1675,5.906181880657597,5.820546135921913,0.08563574473568353,0.22482738625747634
588,Clever,1318736,83265,1036,6366,6.392560755147353,6.314000679438492,0.0785600757088606,0.48273498258938863
589,Clevver News,2394985,44405,2078,4434,1.9408472286882799,1.8540825934191654,0.08676463526911442,0.1851368588947321
590,Click On Detroit | Local 4 | WDIV,1523760,7659,6292,10512,0.9155641308342521,0.5026382107418491,0.412925920092403,0.6898724208536777
591,ClickView,187867,2220,219,716,1.2982588746293922,1.1816870445581182,0.11657183007127382,0.3811206864430688
592,CliveNBAParody,188567,3900,189,640,2.1684600168640324,2.068230390259165,0.10022962660486724,0.33940191019637583
593,Cloud9,417521,22704,382,2163,5.529302717707612,5.437810313732722,0.09149240397488989,0.5180577743394943
594,Club América,810959,12001,523,1203,1.5443444119863026,1.4798528655579382,0.06449154642836444,0.14834288786486124
595,Club Shay Shay,970355,19653,1345,3594,2.1639503068464636,2.0253412410921774,0.1386090657542858,0.3703799125062477
596,Coca-Cola,548172,16136,2763,1980,3.4476405215881147,2.9436016432798464,0.5040388783082682,0.36120049911341695
597,Coco Quinn,1669364,98306,6604,0,6.284429279653808,5.888829518307571,0.39559976134623726,0.0
598,Cocoa Butter,2079750,62841,1738,11474,3.1051328284649595,3.021565091958168,0.08356773650679168,0.5517009255920182
599,CodeNamePizza,807091,16498,758,1410,2.138048869334437,2.044131330915597,0.09391753841884001,0.1747014896709293
600,Cody & Ko,4423710,320295,2200,15197,7.290147862314663,7.240415850044419,0.04973201227024376,0.34353517748677015
601,Cody Ko,8260111,722551,3696,41713,8.792218409655755,8.747473248240853,0.044745161414901084,0.5049932137715825
602,CodyCantEatThis,1668905,84046,616,5081,5.072907085783792,5.035996656490333,0.036910429293458884,0.304451122142962
603,Coi Leray,1348951,69644,1106,4233,5.244816157147294,5.162826522238391,0.08198963490890329,0.3137993893032438
604,Cold Ones,2255779,199544,1056,7282,8.892715110833109,8.845902014337398,0.04681309649571168,0.32281531125167845
605,Coldplay,16860943,409486,9903,27939,2.4873401208935944,2.428606751117064,0.05873336977653029,0.1657024758342401
606,Coldside,687663,55582,3681,14676,8.618029470830916,8.08273820170636,0.5352912691245566,2.1341849132496584
607,Cole The Cornstar,797872,53589,772,4757,6.81324824031925,6.716490865702769,0.09675737461647983,0.596210921049993
608,Colleen Ballinger,14947778,932503,13353,124126,6.327736470263339,6.238405467354412,0.08933100290892733,0.830397668469521
609,Colleen Vlogs,8274566,508182,5011,68374,6.202053376575884,6.141494309187938,0.06055906738794518,0.8263152411860634
610,CollegeHumor,1256472,95393,507,6631,7.632482060881579,7.592130982624364,0.04035107825721544,0.5277475343660663
611,Collins Key,9271804,216212,10540,12092,2.445608211735278,2.331930226307631,0.1136779854276471,0.13041690700105396
612,Coltyy,4760298,327700,22221,5804,7.350821314127813,6.88402280697553,0.4667985071522833,0.1219251399807323
613,Comedy Central,568587,42276,145,1453,7.460775571724292,7.435273757577996,0.025501814146295994,0.2555457652039178
614,Comedy Hype,1523517,23388,1062,8101,1.604839328999939,1.5351321974090213,0.0697071315909176,0.531730200581943
615,Comethazine,1651949,158805,2872,13701,9.787045483849683,9.61319023771315,0.17385524613653328,0.8293839579793323
616,Comments To Crafting,5712120,84651,5026,12891,1.5699425082106118,1.4819541606268776,0.08798834758373424,0.2256780319741182
617,CommunicMax,757067,16389,1073,1910,2.3065329752848824,2.1648017942929756,0.14173118099190693,0.25228942748792377
618,CommunityGame,1500775,30632,948,5161,2.1042461394945944,2.041078775965751,0.06316736352884343,0.34388899068814444
619,Como Blitzball,361073,4369,136,298,1.24767013872541,1.210004625103511,0.037665513621899176,0.08253178720092613
620,Complex,13131016,548907,16604,37393,4.306681219488271,4.180232512091981,0.12644870739628983,0.2847685205775395
621,Comrad3s,436052,6963,363,398,1.6800748534578445,1.5968279012594828,0.08324695219836166,0.09127351783732215
622,Conan Gray,589023,111743,294,9987,19.020819220981185,18.970906059695462,0.04991316128572229,1.695519529797648
623,ConanGrayVEVO,10613416,1242994,5375,67464,11.76217911368027,11.711535663918196,0.050643449762074716,0.6356483153020668
624,ConcernedApe,356868,35459,88,1946,9.960825851575372,9.93616687402625,0.024658977549121806,0.5452996626203527
625,Conor Maynard,1970693,177657,673,5728,9.049101001525859,9.014950578299105,0.034150423226753227,0.2906591742092756
626,Cookiee Kawaii,562931,36622,481,1579,6.591038688578174,6.505593047815807,0.08544564076236696,0.280496188698082
627,Cool Kicks,3270176,111662,2164,7520,3.480730089145049,3.4145562807628704,0.06617380838217882,0.2299570420674606
628,Cool Worlds,859166,27832,902,5826,3.344406086833045,3.2394205543515455,0.1049855324814995,0.6780994592430334
629,Cooper Bogetti,1120764,94568,1273,10547,8.551398867201302,8.437815632907553,0.11358323429374963,0.941054494969503
630,Copa América,4485258,59771,2753,5159,1.3939889299567605,1.3326100750503092,0.06137885490645131,0.11502125407278689
631,Cordae,1467985,114671,1110,6318,7.887069690766595,7.811455839126421,0.07561385164017344,0.4303858690654196
632,Corey & Crawford,183887,15805,107,741,8.653140243736642,8.59495233485782,0.05818790887882232,0.4029648642916574
633,Corinthius,5796740,161832,3936,13822,2.859676300817356,2.7917760672377923,0.06790023357956368,0.23844436700628285
634,Corona USA,2178218,493,213,0,0.032411815529942364,0.022633179966376184,0.00977863556356618,0.0
635,Corpse Husband,21463539,1186776,13358,57040,5.591501010154943,5.529265234405193,0.06223577574974938,0.26575300559707327
636,Corridor Crew,14158660,827287,10072,74204,5.9141119286712165,5.84297525330787,0.07113667536334653,0.5240891440291666
637,CoryxKenshin,5279248,1284498,5242,298247,24.43037341681997,24.331078971853568,0.0992944449664043,5.649422038896449
638,Cosculluela El Principe,7079604,150659,1980,3470,2.156038671089513,2.128071005101415,0.027967665988097638,0.04901404089833273
639,Cosmopolitan,9576447,1181866,5010,38482,12.393698832145159,12.341382978467902,0.052315853677256295,0.40184005612937657
640,Cougar macdowall Va,2102868,122774,1962,5954,5.931708504765872,5.838407356048977,0.09330114871689521,0.2831371251072345
641,Country Music Hall of Fame and Museum,364206,5606,64,910,1.556811255168778,1.5392387824472964,0.0175724727214818,0.24985859650856931
642,Craft Computing,335722,44972,253,2567,13.470967050118848,13.395607079667105,0.07535997045174281,0.7646207278641257
643,Crainer,1453761,115465,2369,7046,8.10545887528968,7.942502240739709,0.16295663454997072,0.48467389068767147
644,CrankGameplays,5247866,923854,3673,99937,17.67436516100068,17.604374806826243,0.06999035417443966,1.9043359719931874
645,Crave,362461,7980,82,670,2.224239297469245,2.2016161738780173,0.022623123591227746,0.18484747324539744
646,Crazy Good Life,256505,15356,237,3595,6.079023800705639,5.98662794097581,0.09239585972982983,1.4015321338765325
647,CrazyMad,418867,15551,428,258,3.8148147263928647,3.7126343206793564,0.1021804057135081,0.06159473054692778
648,Cricbuzz,483683,10085,224,912,2.1313546268940606,2.0850433031551656,0.0463113237388951,0.18855324665121578
649,Critical Role,2056718,188970,1196,13205,9.246090130003239,9.187939231338472,0.0581508986647659,0.642042321796182
650,Cromo X,4099050,82778,1383,7309,2.0531830546102148,2.0194435295983215,0.033739525011893,0.17830960832387993
651,CrossFit Games,8701566,65563,4037,3027,0.7998560259153352,0.7534620779753897,0.04639394793994552,0.03478684181674885
652,Crunchyroll Collection,28262578,805556,13240,78022,2.8971030172831367,2.8502566184868203,0.046846398796316455,0.2760611576198038
653,Crunchyroll FR,884513,45114,741,5925,5.184208711460431,5.100433798033494,0.08377491342693663,0.6698601377255055
654,Crush with Car,7113779,21803,10754,606,0.45766111092290046,0.30648970118413854,0.15117140973876192,0.008518679031215335
655,Crypt,495291,30749,412,1223,6.291452903444641,6.2082694819813,0.08318342146334175,0.24692554478074505
656,Cut,4142039,155953,2106,9376,3.8159708298256003,3.7651263061501834,0.050844523675416864,0.2263619439604504
657,Cval - ya brown?,2837531,70178,1349,5537,2.5207477909492444,2.473206460123255,0.047541330825989214,0.1951344320114917
658,Cyberpunk 2077,42302320,1312097,57397,161353,3.2373969087274648,3.1017140431068557,0.135682865620609,0.38142825263484365
659,D'Angelo Wallace,3553538,329568,3297,31540,9.36714339342931,9.274362621139833,0.09278077228947601,0.8875661383106076
660,DALLMYD,2194598,89998,1592,2716,4.173429484579864,4.1008877252234806,0.07254175935638327,0.12375842865071417
661,DAWN,5494141,690004,8522,35939,12.714016622434698,12.558905932701764,0.1551106897329355,0.6541331938878161
662,DAZN Boxing,55586539,722483,35791,113291,1.364132420620755,1.299744529876199,0.06438789074455598,0.20381013468026854
663,DAZN USA,2841693,30279,2361,8026,1.1486110568594143,1.0655267828016608,0.0830842740577536,0.28243726539073716
664,DC,7267641,305385,10830,25596,4.350999175660988,4.201982458957453,0.14901671670353558,0.3521913093946165
665,DDG,13344037,1000963,15356,81170,7.616278342153877,7.501200723589121,0.11507761856475668,0.608286682658329
666,DDGVEVO,11080258,720264,8744,61248,6.579341383567061,6.500426253612506,0.07891512995455521,0.5527669121061982
667,DEATH BATTLE!,21783358,1027401,69816,284954,5.036950685013761,4.716449135160888,0.32050154985287393,1.308127057361863
668,DEL Records,2077955,116859,1858,4954,5.713165107040336,5.623750273706601,0.08941483333373437,0.2384074727316039
669,DELLA VLOGS,364647,18030,140,1092,4.9829012716407926,4.9445079762071265,0.038393295433665986,0.2994677043825947
670,DIY Perks,1753285,121022,1660,6551,6.997265133734675,6.902585717667122,0.09467941606755319,0.37364147870996445
671,DJ FUNK FLEX,5530784,211093,3180,14499,3.874188541805285,3.8166921723936427,0.057496369411642184,0.26215089940232705
672,DJ Khaled,2285396,97613,2692,8018,4.388954911971492,4.271163509518701,0.11779140245279156,0.35083635396228924
673,DJI,2465178,90545,809,4546,3.705777027054436,3.672959924192087,0.03281710286234909,0.18440859037359575
674,DJKhaledVEVO,91006574,3748601,145546,222488,4.278973297027971,4.119044191247107,0.1599291057808637,0.2444746464140052
675,DJSnakeVEVO,8766039,452638,12212,51796,5.302851150901793,5.1635407964760365,0.13931035442575604,0.5908712019191336
676,DMAXRYNO,455988,22811,250,2627,5.057369930787653,5.0025439265945595,0.0548260041930928,0.5761116520610191
