,channelTitle,view_count,Likes,Dislikes,Comments,Response_Percentage,LikesPercentage,DislikesPercentage,CommentsPercentage
46,A&B Things,2828079,137323,3677,15113,4.985716452758215,4.855698868383804,0.13001758437441105,0.5343910124151412
47,A&E,8276968,117400,3482,14913,1.4604623335501599,1.4183937886433777,0.04206854490678229,0.18017467265791048
48,A24,3893072,126105,2394,8394,3.300709568176494,3.239215714479465,0.06149385369702898,0.21561378777479584
49,ABC,16397823,1050623,9908,43776,6.467510961668509,6.407088306783162,0.06042265488534667,0.2669622668814025
50,ABC 10 News,323129,3554,189,1792,1.1583609023021766,1.09987033042531,0.058490571876866515,0.5545772740917714
51,ABC 7 Chicago,688878,7210,1247,7395,1.227648437023682,1.0466294467235127,0.18101899030016927,1.0734847099196083
52,ABC Action News,2849511,60182,2309,26432,2.1930429466669894,2.112011499516935,0.08103144715005486,0.927597752737224
53,ABC News,20015951,218229,58483,94094,1.3824574210838145,1.0902754508142032,0.29218197026961146,0.4700950756723975
54,ABC News (Australia),1965990,24926,1590,0,1.34873524280388,1.2678599585959236,0.0808752842079563,0.0
55,ABC10,2010086,14493,995,7906,0.7705142964032384,0.7210139267673125,0.04950036963592602,0.393316504865961
56,ABC13 Houston,547157,15894,2634,4762,3.386231008650168,2.9048335304126605,0.4813974782375077,0.8703169291446513
57,ABC7,5004345,44339,9485,34418,1.075545351089903,0.8860100572602408,0.18953529382966203,0.6877623345312923
58,ABC7 News Bay Area,6203495,68892,3453,17091,1.166197441925882,1.1105352708432907,0.05566217108259135,0.27550598493268713
59,AC/DC,3430084,155871,1042,10259,4.5746110007801555,4.544232735991305,0.030378264788850654,0.2990888852867743
60,ACG,736264,33449,685,3567,4.636108787065509,4.5430715069594605,0.09303728010604892,0.4844729607858051
61,ADAM RAY OKAY,260015,16479,492,1674,6.526931138588158,6.3377112858873526,0.1892198527008057,0.6438090110185951
62,AEW Games,192556,10291,363,1792,5.532935873200524,5.344419285818152,0.18851658738237187,0.930638359749891
63,AFP News Agency,4943347,50108,21238,23210,1.4432731507620242,1.0136452083982774,0.4296279423637467,0.46951994266232977
64,AFTV,3552534,140254,5692,26648,4.1082224688067726,3.9479988087376503,0.1602236600691225,0.7501124549406142
65,AFernandezVEVO,4872539,118595,2858,3320,2.4926019063161937,2.4339466549164612,0.05865525139973225,0.06813696103817743
66,AJR,4464232,342031,3032,27434,7.729504201394551,7.661586584209781,0.06791761718476996,0.614528994012856
67,AJTHEBOLD,3402135,216528,3111,27427,6.45591665233743,6.364474072898342,0.09144257943908751,0.8061702430973492
68,ALEXANDER THE GREAT TV,1379161,65570,1666,1837,4.875137855551309,4.754339776139261,0.12079807941204834,0.13319692189671836
69,AMD,3203440,173930,3058,24608,5.5249356941288115,5.429475813500487,0.09545988062832456,0.7681742127213246
70,AMMO NYC,3506044,86858,1871,6115,2.5307440522708786,2.4773790631264183,0.05336498914446025,0.17441309920811035
71,AMP,2828895,151265,1033,13312,5.3836568695550735,5.3471408447468,0.03651602480827319,0.4705724319919969
72,ANC 24/7,969821,6463,581,4007,0.7263195991837669,0.6664116367865822,0.059907962397184635,0.4131690280989997
73,ANNA SHUMATE,848646,51745,2616,2637,6.405615533449754,6.097359794307638,0.3082557391421158,0.3107302691581649
74,AOMGOFFICIAL,2293550,427178,707,28574,18.65601360336596,18.625188027293934,0.03082557607202808,1.2458415992675111
75,AR12Gaming,1135579,59437,1450,12517,5.361758186792817,5.234070020667871,0.12768816612494596,1.1022570864730679
76,ARIRANG NEWS,417736,2893,147,576,0.7277323477028554,0.6925426585211713,0.03518968918168413,0.13788612903843575
77,ARK: Survival Evolved,2533162,127498,1778,13900,5.1033451472902245,5.033156189773887,0.07018895751633729,0.5487213214156852
78,ARMWRESTLING TV,2592653,39365,1099,6266,1.5607179209867268,1.5183289086507141,0.04238901233601257,0.2416829402160644
79,ASBYT,306041,4149,883,1578,1.6442241399028235,1.3557007067680473,0.2885234331347761,0.5156171885466326
80,ASTRO 아스트로,3242469,278208,936,33309,8.608995182374912,8.580128291126298,0.028866891248613327,1.027272735683826
81,ATEEZ,3806560,589820,2250,47735,15.553938464125089,15.494829977722668,0.059108486402421084,1.2540193770753647
82,ATHLEAN-X™,3187076,144450,2274,8445,4.603718267151458,4.532367599643059,0.07135066750839955,0.26497642353053397
83,AXS TV,351147,6174,147,665,1.8001008124802433,1.7582380028876796,0.0418628095925638,0.1893793767282648
84,Aaron Burriss,717861,36483,270,2529,5.11979338618479,5.082181647979205,0.03761173820558576,0.3522966145256533
85,AaronsAnimals,1687480,64454,1362,3983,3.900253632635646,3.819541564937066,0.08071206769858014,0.23603242705098726
86,Abbie & Julia,616639,36254,682,3893,5.989890357243055,5.879290800614298,0.11059955662875685,0.6313256216359977
87,Abby ASMR,164415,5664,136,334,3.527658668612961,3.4449411550041056,0.08271751360885564,0.20314448195116017
88,Abby Lee Miller,670494,28968,1583,1935,4.556491184112013,4.320396603101594,0.2360945810104192,0.2885931865162104
89,Abby Roberts,930380,125333,248,5300,13.49781809583181,13.471162320772157,0.026655775059653046,0.5696597089361336
90,Abroad in Japan,4561984,346018,2538,27278,7.640447664875633,7.584813975673742,0.05563368920189111,0.5979415973401047
91,Absorber,503653,65047,4435,7787,13.795609278610472,12.915042698048062,0.880566580562411,1.54610416298523
92,Access,4408119,49587,4994,11943,1.238192526109209,1.1249015736644132,0.11329095244479562,0.27093188727436807
